mn_add_id,image_url,evidence_url
MN-ADD-013,https://s3.images-iherb.com/now/now04588/l/0.jpg,https://ca.iherb.com/pr/Now-Foods-Bacopa-Extract-450-mg-90-Veg-Capsules/89694
MN-ADD-014,https://femologist.com/cdn/shop/products/citicoline-cdp-choline-250-mg-60-caps-oral-supplements-jarrow-formulas-717966_1024x1024@2x.jpg?v=1697489935,https://femologist.com/products/citicoline-cdp-choline-250-mg-60-caps
MN-ADD-015,https://down-th.img.susercontent.com/file/4f08edc857f120855ca44923b3b43193,https://shopee.co.th/Now-foods-L-Tyrosine-500-mg-120-Capsules-i.8959863.6562889867
MN-ADD-016,https://down-ph.img.susercontent.com/file/sg-11134201-22100-xtm9caztiuivd0,https://shopee.ph/NOW-Foods-Saffron-50-mg-60-Veg-Capsules-THE-SLEEP-SPECIALIST-PH-CPM-i.77974715.19143200393
MN-ADD-017,https://s3.images-iherb.com/syn/syn00418/l/44.jpg,https://www.iherb.com/pr/pure-synergy-beet-organic-juice-powder-6-4-oz-180-g/72779
MN-ADD-018,https://down-ph.img.susercontent.com/file/ph-11134208-81ztq-mhiog4uq5vd1b2,https://shopee.ph/Now-Foods-Ph-NOW-Foods-Hawthorn-Extract-600-mg-90-Veg-Capsules-(-Heart-and-Vascular-Support-)-i.923818504.49252141146
MN-ADD-019,https://lzd-img-global.slatic.net/g/ff/kf/Sb39a47f4cda143e98a738cc3783b5a9bJ.jpg_720x720q80.jpg,https://www.lazada.com.ph/products/now-foods-l-citrulline-750-mg-90-veg-capsules-i2276163069.html
MN-ADD-020,https://down-my.img.susercontent.com/file/sg-11134201-7rd6y-lw4fhedd652l67,https://shopee.com.my/NOW-Foods-Fenugreek-500mg-100-Veg-Capsules-Increase-Breast-Milk-i.1273239897.24731676922
MN-ADD-021,https://shroombuddy.com/wp-content/uploads/2024/01/Host-Defense-Mushrooms-Cordyceps-Capsules-60-ct-Product.png,https://shroombuddy.com/product/host-defense-mushrooms-cordyceps-capsules-60-ct/
MN-ADD-022,https://down-id.img.susercontent.com/file/id-11134275-7ra0k-mb3fazfh5p0934,https://shopee.co.id/Real-Mushrooms-Lion's-Mane-Cognition-Mushroom-Extract-Powder-120-Caps-i.1536988438.42354769716
MN-ADD-023,https://static.lifeirl.com/uploads/2025/03/718Ch9N1TIL.jpg,https://lifeirl.com/products/california-gold-nutrition-ergothioneine-mushroom-complex-90-veggie-capsules/
MN-ADD-024,https://m.media-amazon.com/images/I/71GXZ04fmML._AC_SL1500_.jpg,https://www.amazon.com/California-Gold-Nutrition-Ganoderma-Full-Spectrum/dp/B07GRG8PZ7
MN-ADD-025,https://m.media-amazon.com/images/I/61ZsbJwy60L._AC_SL1500_.jpg,https://www.amazon.com/Real-Mushrooms-Defenders-Capsules-Supplement/dp/B084JG2XWG
MN-ADD-026,https://cf.shopee.co.th/file/283ecdb4e7acc0fb55696a1ed0b99ded,https://thaipick.com/product/shopee/953582
MN-ADD-027,https://s3.images-iherb.com/now/now02007/l/45.jpg,https://lk.iherb.com/pr/now-foods-sports-beta-alanine-17-6-oz-500-g/10940
MN-ADD-028,https://down-ph.img.susercontent.com/file/ph-11134208-81ztg-mh72tagupc7c23,https://shopee.ph/Nutricost-Electrolyte-Complex-120-Capsules-(01-2028-expiry)-i.5697945.19195158995
MN-ADD-029,https://m.media-amazon.com/images/I/719NiQBrXvL._AC_SL1500_.jpg,https://www.amazon.com/Nutrition-%CE%B2-Hydroxy-%CE%B2-Methylbutyrate-Strength-Tablets/dp/B076MM3Y17
MN-ADD-030,https://cdn.shopify.com/s/files/1/0338/3269/files/Tongkat_Ali_Supplement_facts_120C_SWP013.jpg?v=1703050956,https://vitamins.co.nz/products/swanson-tongkat-ali-400mg-120-caps
MN-ADD-031,https://www.byclue.com/product/california-gold-nutrition-collagenup-marine-collagen-hyaluronic-acid-vitamin-c-unflavored-7-26-oz-206-g/21-1.jpg,https://www.byclue.com/product/california-gold-nutrition-collagenup-marine-collagen-hyaluronic-acid-vitamin-c-unflavored-7-26-oz-206-g/
MN-ADD-032,https://down-id.img.susercontent.com/file/sg-11134201-22120-fgp4qbooaxkv85,https://shopee.co.id/Magtein-Magnesium-L-Threonate-Now-Foods-90-Veg-Capsule-i.908494146.21968056165
MN-ADD-033,https://m.media-amazon.com/images/I/71rzZo-GhWL._AC_SL1500_.jpg,https://www.amazon.ae/NOW-Supplements-Cherry-Prunus-cerasus/dp/B07KXTCNLD
MN-ADD-034,https://down-id.img.susercontent.com/file/14c2cad3424032aacede46bc3e54d0ff,https://shopee.co.id/Doctor's-Best-Betaine-HCL-Pepsin-Gentian-Bitters-120-Caps-Betaine-HCL-Pepsin-Gentian-Bitters-360-Caps-i.15974676.4888955413
MN-ADD-035,https://img.lazcdn.com/g/p/9a1c947dd2c94a069590c6a376234cad.jpg_720x720q80.jpg,https://www.lazada.com.ph/products/now-foods-super-omega-3-6-9-1200-mg-180-softgels-i4300506587.html
